Date,Title,Artist,Rank,Is_New,Image,Peak_Posistion,Last_Position,Weeks
2018-01-06,Perfect,Ed Sheeran,1,False,,1,1,18
2018-01-06,Rockstar,Post Malone Featuring 21 Savage,2,False,,1,2,15
2018-01-06,Havana,Camila Cabello Featuring Young Thug,3,False,,2,3,20
2018-01-06,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,4,False,,4,5,16
2018-01-06,Thunder,Imagine Dragons,5,False,,4,6,35
2018-01-06,Gucci Gang,Lil Pump,6,False,,3,4,16
2018-01-06,MotorSport,"Migos, Nicki Minaj & Cardi B",7,False,,6,7,9
2018-01-06,Too Good At Goodbyes,Sam Smith,8,False,,4,8,16
2018-01-06,Bad At Love,Halsey,9,False,,8,10,17
2018-01-06,Bodak Yellow (Money Moves),Cardi B,10,False,,1,12,26
2018-01-06,Love.,Kendrick Lamar Featuring Zacari,11,False,,11,22,27
2018-01-06,New Rules,Dua Lipa,12,False,,12,13,22
2018-01-06,All I Want For Christmas Is You,Mariah Carey,13,False,,9,9,24
2018-01-06,Bartier Cardi,Cardi B Featuring 21 Savage,14,True,,14,0,1
2018-01-06,Gummo,6ix9ine,15,False,,12,14,7
2018-01-06,I Fall Apart,Post Malone,16,False,,16,16,14
2018-01-06,Let You Down,NF,17,False,,16,18,11
2018-01-06,Young Dumb & Broke,Khalid,18,False,,18,33,24
2018-01-06,Shape Of You,Ed Sheeran,19,False,,1,24,51
2018-01-06,Sorry Not Sorry,Demi Lovato,20,False,,6,21,25
2018-01-06,What Lovers Do,Maroon 5 Featuring SZA,21,False,,9,17,18
2018-01-06,I Get The Bag,Gucci Mane Featuring Migos,22,False,,11,19,19
2018-01-06,Feel It Still,Portugal. The Man,23,False,,4,20,28
2018-01-06,Him & I,G-Eazy & Halsey,24,False,,15,15,4
2018-01-06,Believer,Imagine Dragons,25,False,,4,40,47
2018-01-06,Meant To Be,Bebe Rexha & Florida Georgia Line,26,False,,26,28,10
2018-01-06,How Long,Charlie Puth,27,False,,26,31,12
2018-01-06,Bank Account,21 Savage,28,False,,12,35,25
2018-01-06,Wolves,Selena Gomez X Marshmello,29,False,,20,23,10
2018-01-06,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,30,False,,1,36,50
2018-01-06,Plain Jane,A$AP Ferg Featuring Nicki Minaj,31,False,,26,26,14
2018-01-06,Mi Gente,J Balvin & Willy William Featuring Beyonce,32,False,,3,25,26
2018-01-06,The Weekend,SZA,33,False,,29,29,22
2018-01-06,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,34,False,,3,34,35
2018-01-06,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,35,False,,24,27,18
2018-01-06,Rockin' Around The Christmas Tree,Brenda Lee,36,False,,14,30,22
2018-01-06,That's What I Like,Bruno Mars,37,False,,1,48,50
2018-01-06,It's The Most Wonderful Time Of The Year,Andy Williams,38,False,,32,32,5
2018-01-06,Attention,Charlie Puth,39,False,,5,44,36
2018-01-06,End Game,Taylor Swift Featuring Ed Sheeran & Future,40,False,,39,42,6
2018-01-06,Sky Walker,Miguel Featuring Travis Scott,41,False,,35,41,14
2018-01-06,The Christmas Song (Merry Christmas To You),Nat King Cole,42,False,,37,37,12
2018-01-06,River,Eminem Featuring Ed Sheeran,43,False,,11,11,2
2018-01-06,Silence,Marshmello Featuring Khalid,44,False,,30,39,20
2018-01-06,Marry Me,Thomas Rhett,45,False,,45,63,4
2018-01-06,A Holly Jolly Christmas,Burl Ives,46,False,,38,38,5
2018-01-06,Unforgettable,French Montana Featuring Swae Lee,47,False,,3,47,38
2018-01-06,What About Us,P!nk,48,False,,13,62,21
2018-01-06,Lemon,N*E*R*D & Rihanna,49,False,,46,46,8
2018-01-06,Candy Paint,Post Malone,50,False,,50,58,10
2018-01-06,Roll In Peace,Kodak Black Featuring XXXTENTACION,51,False,,51,51,19
2018-01-06,La Modelo,Ozuna x Cardi B,52,True,,52,0,1
2018-01-06,Ric Flair Drip,Offset & Metro Boomin,53,False,,44,45,9
2018-01-06,Lights Down Low,MAX Featuring gnash,54,False,,54,57,12
2018-01-06,Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,55,False,,52,52,14
2018-01-06,Like I Loved You,Brett Young,56,False,,54,56,14
2018-01-06,Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",57,False,,46,53,16
2018-01-06,Greatest Love Story,LANCO,58,False,,45,60,17
2018-01-06,Rubbin Off The Paint,YBN Nahmir,59,False,,46,55,8
2018-01-06,Good Old Days,Macklemore Featuring Kesha,60,False,,60,61,10
2018-01-06,...Ready For It?,Taylor Swift,61,False,,4,59,17
2018-01-06,Yours,Russell Dickerson,62,False,,62,66,11
2018-01-06,I'll Name The Dogs,Blake Shelton,63,False,,58,65,16
2018-01-06,The Race,Tay-K,64,False,,44,68,20
2018-01-06,Eye 2 Eye,Huncho Jack Featuring Takeoff,65,True,,65,0,1
2018-01-06,Look What You Made Me Do,Taylor Swift,66,False,,1,76,19
2018-01-06,Kooda,6ix9ine,67,False,,50,54,4
2018-01-06,Modern Slavery,Huncho Jack,68,True,,68,0,1
2018-01-06,Thunder/Young Dumb & Broke (Medley),Imagine Dragons + Khalid,69,True,,69,0,1
2018-01-06,Codeine Dreaming,Kodak Black Featuring Lil Wayne,70,False,,52,64,5
2018-01-06,Black & Chinese,Huncho Jack,71,True,,71,0,1
2018-01-06,Round Here Buzz,Eric Church,72,False,,68,70,14
2018-01-06,Light It Up,Luke Bryan,73,False,,57,72,18
2018-01-06,Echame La Culpa,Luis Fonsi & Demi Lovato,74,False,,47,75,6
2018-01-06,Betrayed,Lil Xan,75,False,,67,77,7
2018-01-06,Losing Sleep,Chris Young,76,False,,63,78,14
2018-01-06,No Smoke,YoungBoy Never Broke Again,77,False,,77,80,4
2018-01-06,Tell Me You Love Me,Demi Lovato,78,False,,53,73,5
2018-01-06,You Broke Up With Me,Walker Hayes,79,False,,79,83,10
2018-01-06,Ice Tray,Quavo & Lil Yachty,80,False,,80,82,2
2018-01-06,I Could Use A Love Song,Maren Morris,81,False,,75,81,19
2018-01-06,MIC Drop,BTS Featuring Desiigner,82,False,,28,79,5
2018-01-06,Dubai Shit,Huncho Jack Featuring Offset,83,True,,83,0,1
2018-01-06,My Dawg,Lil Baby,84,False,,71,71,3
2018-01-06,Pick It Up,Famous Dex Featuring A$AP Rocky,85,False,,73,74,7
2018-01-06,Written In The Sand,Old Dominion,86,False,,86,89,6
2018-01-06,Huncho Jack,Huncho Jack,87,True,,87,0,1
2018-01-06,Krippy Kush,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",88,False,,85,0,3
2018-01-06,Five More Minutes,Scotty McCreery,89,False,,89,96,4
2018-01-06,Motorcycle Patches,Huncho Jack,90,True,,90,0,1
2018-01-06,Mayores,Becky G Featuring Bad Bunny,91,False,,74,86,10
2018-01-06,Saint,Huncho Jack,92,True,,92,0,1
2018-01-06,Walk On Water,Eminem Featuring Beyonce,93,False,,14,87,5
2018-01-06,Stir Fry,Migos,94,True,,94,0,1
2018-01-06,Home,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",95,False,,90,90,3
2018-01-06,F**k Love,XXXTENTACION Featuring Trippie Redd,96,False,,41,91,18
2018-01-06,Legends,Kelsea Ballerini,97,False,,97,100,4
2018-01-06,Too Much To Ask,Niall Horan,98,False,,66,97,10
2018-01-06,Dusk Till Dawn,Zayn Featuring Sia,99,False,,44,88,16
2018-01-06,Juice,Yo Gotti,100,False,,93,93,4
2018-01-13,Perfect,Ed Sheeran,1,False,,1,1,19
2018-01-13,Havana,Camila Cabello Featuring Young Thug,2,False,,2,3,21
2018-01-13,Rockstar,Post Malone Featuring 21 Savage,3,False,,1,2,16
2018-01-13,Thunder,Imagine Dragons,4,False,,4,5,36
2018-01-13,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,5,False,,4,4,17
2018-01-13,Bad At Love,Halsey,6,False,,6,9,18
2018-01-13,Too Good At Goodbyes,Sam Smith,7,False,,4,8,17
2018-01-13,MotorSport,"Migos, Nicki Minaj & Cardi B",8,False,,6,7,10
2018-01-13,Gucci Gang,Lil Pump,9,False,,3,6,17
2018-01-13,Bodak Yellow (Money Moves),Cardi B,10,False,,1,10,27
2018-01-13,New Rules,Dua Lipa,11,False,,11,12,23
2018-01-13,Feel It Still,Portugal. The Man,12,False,,4,23,29
2018-01-13,Shape Of You,Ed Sheeran,13,False,,1,19,52
2018-01-13,Love.,Kendrick Lamar Featuring Zacari,14,False,,11,11,28
2018-01-13,Sorry Not Sorry,Demi Lovato,15,False,,6,20,26
2018-01-13,Believer,Imagine Dragons,16,False,,4,25,48
2018-01-13,Him & I,G-Eazy & Halsey,17,False,,15,24,5
2018-01-13,Let You Down,NF,18,False,,16,17,12
2018-01-13,Bartier Cardi,Cardi B Featuring 21 Savage,19,False,,14,14,2
2018-01-13,Gummo,6ix9ine,20,False,,12,15,8
2018-01-13,What Lovers Do,Maroon 5 Featuring SZA,21,False,,9,21,19
2018-01-13,Young Dumb & Broke,Khalid,22,False,,18,18,25
2018-01-13,I Fall Apart,Post Malone,23,False,,16,16,15
2018-01-13,Meant To Be,Bebe Rexha & Florida Georgia Line,24,False,,24,26,11
2018-01-13,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,25,False,,1,30,51
2018-01-13,I Get The Bag,Gucci Mane Featuring Migos,26,False,,11,22,20
2018-01-13,How Long,Charlie Puth,27,False,,26,27,13
2018-01-13,Wolves,Selena Gomez X Marshmello,28,False,,20,29,11
2018-01-13,Bank Account,21 Savage,29,False,,12,28,26
2018-01-13,Mi Gente,J Balvin & Willy William Featuring Beyonce,30,False,,3,32,27
2018-01-13,Plain Jane,A$AP Ferg Featuring Nicki Minaj,31,False,,26,31,15
2018-01-13,That's What I Like,Bruno Mars,32,False,,1,37,51
2018-01-13,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,33,False,,3,34,36
2018-01-13,Attention,Charlie Puth,34,False,,5,39,37
2018-01-13,Finesse,Bruno Mars & Cardi B,35,True,,35,0,1
2018-01-13,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,36,False,,24,35,19
2018-01-13,The Weekend,SZA,37,False,,29,33,23
2018-01-13,Sky Walker,Miguel Featuring Travis Scott,38,False,,35,41,15
2018-01-13,End Game,Taylor Swift Featuring Ed Sheeran & Future,39,False,,39,40,7
2018-01-13,Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,40,False,,40,55,15
2018-01-13,Silence,Marshmello Featuring Khalid,41,False,,30,44,21
2018-01-13,Unforgettable,French Montana Featuring Swae Lee,42,False,,3,47,39
2018-01-13,What About Us,P!nk,43,False,,13,48,22
2018-01-13,Marry Me,Thomas Rhett,44,False,,44,45,5
2018-01-13,River,Eminem Featuring Ed Sheeran,45,False,,11,43,3
2018-01-13,Like I Loved You,Brett Young,46,False,,46,56,15
